sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781124330.055,,0.0,0.0,0.0,C,0,0
1781124330.255,,0.0,0.0,0.0,C,0,0
1781124330.455,,0.0,0.0,0.0,C,0,0
1781124330.655,,0.0,0.0,0.0,C,0,0
1781124330.856,,0.0,0.0,0.0,C,0,0
1781124331.055,,0.0,0.0,0.0,C,0,0
1781124331.255,,0.0,0.0,0.0,C,0,0
1781124331.455,,0.0,0.0,0.0,C,0,0
1781124331.655,,0.0,0.0,0.0,C,0,0
1781124331.855,,0.0,0.0,0.0,C,0,0
1781124332.055,,0.0,0.0,0.0,C,0,0
1781124332.255,,0.0,0.0,0.0,C,0,0
1781124332.455,,0.0,0.0,0.0,C,0,0
1781124332.655,,0.0,0.0,0.0,C,0,0
1781124332.855,,0.0,0.0,0.0,C,0,0
1781124333.055,,0.0,0.0,0.0,C,0,0
1781124333.255,,0.0,0.0,0.0,C,0,0
1781124333.455,,0.0,0.0,0.0,C,0,0
1781124333.655,,0.0,0.0,0.0,C,0,0
1781124333.855,,0.0,0.0,0.0,C,0,0
1781124334.055,,0.0,0.0,0.0,C,0,0
1781124334.255,,0.0,0.0,0.0,C,0,0
1781124334.455,,0.0,0.0,0.0,C,0,0
1781124334.655,,0.0,0.0,0.0,C,0,0
1781124334.855,,0.0,0.0,0.0,C,0,0
1781124335.055,,0.0,0.0,0.0,C,0,0
1781124335.255,,0.0,0.0,0.0,C,0,0
1781124335.455,,0.0,0.0,0.0,C,0,0
1781124335.655,,0.0,0.0,0.0,C,0,0
1781124335.855,,0.0,0.0,0.0,C,0,0
1781124336.055,,0.0,0.0,0.0,C,0,0
1781124336.255,,0.0,0.0,0.0,C,0,0
1781124336.455,,0.0,0.0,0.0,C,0,0
1781124336.655,,0.0,0.0,0.0,C,0,0
1781124336.855,,0.0,0.0,0.0,C,0,0
1781124337.055,,0.0,0.0,0.0,C,0,0
1781124337.255,,0.0,0.0,0.0,C,0,0
1781124337.455,,0.0,0.0,0.0,C,0,0
1781124337.655,,0.0,0.0,0.0,C,0,0
1781124337.855,,0.0,0.0,0.0,C,0,0
1781124338.055,,0.0,0.0,0.0,C,0,0
1781124338.255,,0.0,0.0,0.0,C,0,0
1781124338.455,,0.0,0.0,0.0,C,0,0
1781124338.655,,0.0,0.0,0.0,C,0,0
1781124338.855,,0.0,0.0,0.0,C,0,0
1781124339.055,,0.0,0.0,0.0,C,0,0
1781124339.255,,0.0,0.0,0.0,C,0,0
1781124339.455,,0.0,0.0,0.0,C,0,0
1781124339.655,,0.0,0.0,0.0,C,0,0
1781124339.855,,0.0,0.0,0.0,C,0,0
1781124340.055,,0.0,0.0,0.0,C,0,0
1781124340.255,,0.0,0.0,0.0,C,0,0
1781124340.455,,0.0,0.0,0.0,C,0,0
1781124340.655,,0.0,0.0,0.0,C,0,0
1781124340.855,,0.0,0.0,0.0,C,0,0
1781124341.055,,0.0,0.0,0.0,C,0,0
1781124341.255,,0.0,0.0,0.0,C,0,0
1781124341.455,,0.0,0.0,0.0,C,0,0
1781124341.655,,0.0,0.0,0.0,C,0,0
1781124341.855,,0.0,0.0,0.0,C,0,0
1781124342.055,,0.0,0.0,0.0,C,0,0
1781124342.255,,0.0,0.0,0.0,C,0,0
1781124342.455,,0.0,0.0,0.0,C,0,0
1781124342.655,,0.0,0.0,0.0,C,0,0
1781124342.855,,0.0,0.0,0.0,C,0,0
1781124343.055,,0.0,0.0,0.0,C,0,0
1781124343.255,,0.0,0.0,0.0,C,0,0
1781124343.455,,0.0,0.0,0.0,C,0,0
1781124343.655,,0.0,0.0,0.0,C,0,0
1781124343.855,,0.0,0.0,0.0,C,0,0
1781124344.055,,0.0,0.0,0.0,C,0,0
1781124344.255,,0.0,0.0,0.0,C,0,0
1781124344.455,,0.0,0.0,0.0,C,1,0
1781124344.655,,0.0,0.0,0.0,C,1,0
1781124344.855,,0.0,0.0,0.0,C,0,0
1781124345.055,,0.0,0.0,0.0,C,0,0
1781124345.255,,0.0,0.0,0.0,C,0,0
1781124345.455,,0.0,0.0,0.0,C,0,0
1781124345.655,,0.0,0.0,0.0,C,0,0
1781124345.855,,0.0,0.0,0.0,C,0,0
1781124346.055,,0.0,0.0,0.0,C,0,0
1781124346.255,,0.0,0.0,0.0,C,0,0
1781124346.455,,0.0,0.0,0.0,C,0,0
1781124346.655,,0.0,0.0,0.0,C,0,0
1781124346.855,,0.0,0.0,0.0,C,0,0
1781124347.055,,0.0,0.0,0.0,C,0,0
1781124347.255,,0.0,0.0,0.0,C,0,0
1781124347.455,,0.0,0.0,0.0,C,0,0
1781124347.655,,0.0,0.0,0.0,C,0,0
1781124347.855,,0.0,0.0,0.0,C,0,0
1781124348.055,,0.0,0.0,0.0,C,0,0
1781124348.255,,0.0,0.0,0.0,C,0,0
1781124348.455,,0.0,0.0,0.0,C,0,0
1781124348.655,,0.0,0.0,0.0,C,0,0
1781124348.855,,0.0,0.0,0.0,C,0,0
1781124349.055,,0.0,0.0,0.0,C,0,0
1781124349.255,,0.0,0.0,0.0,C,0,0
1781124349.455,,0.0,0.0,0.0,C,0,0
1781124349.655,,0.0,0.0,0.0,C,0,0
1781124349.855,,0.0,0.0,0.0,C,0,0
1781124350.055,,0.0,0.0,0.0,C,0,0
1781124350.255,,0.0,0.0,0.0,C,0,0
1781124350.455,,0.0,0.0,0.0,C,0,0
1781124350.655,,0.0,0.0,0.0,C,0,0
1781124350.855,,0.0,0.0,0.0,C,0,0
1781124351.055,,0.0,0.0,1.0,H,0,1
1781124351.255,0.1195,0.00046,0.9977,1.0,H,0,0
1781124351.455,0.1195,12.195367,0.6048,1.0,H,0,0
1781124351.655,0.106,25.234949,0.6686,1.0,H,0,0
1781124351.855,0.0598,41.459305,0.7316,1.0,X,0,0
1781124352.055,0.0598,86.913651,0.7797,1.0,X,0,0
