sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781116281.962,,0.0,0.0,0.0,C,0,1
1781116282.162,,0.0,0.0,0.0,C,0,1
1781116282.362,,0.0,0.0,0.0,C,0,1
1781116282.562,,0.0,0.0,0.0,C,0,1
1781116282.762,,0.0,0.0,0.0,C,0,1
1781116282.962,,0.0,0.0,0.0,C,0,1
1781116283.162,,0.0,0.0,0.0,C,0,1
1781116283.362,,0.0,0.0,0.0,C,0,1
1781116283.562,,0.0,0.0,0.0,C,0,1
1781116283.762,,0.0,0.0,0.0,C,0,1
1781116283.962,,0.0,0.0,0.0,C,0,1
1781116284.162,,0.0,0.0,0.0,C,0,1
1781116284.362,,0.0,0.0,0.0,C,0,1
1781116284.562,,0.0,0.0,1.0,H,0,1
1781116284.764,2.8888,0.001641,0.9919,1.0,H,0,1
1781116284.964,2.8888,0.003349,0.9961,1.0,H,0,1
1781116285.164,2.8888,0.003725,0.9969,1.0,H,0,1
1781116285.364,2.8888,0.004014,0.9974,1.0,H,0,1
1781116285.564,2.8888,0.004442,0.9981,1.0,H,0,1
1781116285.764,2.8888,0.00514,0.9972,1.0,H,0,0
1781116285.964,2.8888,0.006712,0.9942,1.0,H,0,0
1781116286.165,0.0867,0.008199,0.995,1.0,H,0,1
1781116286.364,0.1396,0.00829,0.9951,1.0,H,0,1
1781116286.564,0.1396,0.007844,0.9949,1.0,H,0,1
1781116286.764,0.1396,0.0072,0.9954,1.0,H,0,1
1781116286.964,0.1396,0.007104,0.9956,1.0,H,0,1
1781116287.165,0.1396,0.007126,0.9958,1.0,H,0,1
1781116287.364,0.1396,0.007218,0.9962,1.0,H,0,1
1781116287.565,0.1396,0.007398,0.9964,1.0,H,0,1
1781116287.765,0.1396,0.007598,0.9966,1.0,H,0,1
1781116287.965,0.1396,0.007783,0.9969,1.0,H,0,1
1781116288.165,0.1396,0.007848,0.997,1.0,H,0,1
1781116288.366,0.1396,0.007882,0.9971,1.0,H,0,1
1781116288.567,0.1396,0.007947,0.9973,1.0,H,0,1
1781116288.765,0.1396,0.00801,0.9974,1.0,H,0,1
1781116288.965,0.1396,0.00802,0.9975,1.0,H,0,1
1781116289.166,0.1396,0.008001,0.9977,1.0,H,0,1
1781116289.366,0.1396,0.008081,0.9977,1.0,H,0,1
1781116289.563,0.1396,0.008224,0.9978,1.0,H,0,1
1781116289.763,0.1396,0.008629,0.9979,1.0,H,0,1
1781116289.963,0.1396,0.008824,0.998,1.0,H,0,1
1781116290.163,0.1396,0.009006,0.998,1.0,H,0,1
1781116290.363,0.1396,0.009529,0.9981,1.0,H,0,1
1781116290.563,0.1396,0.009741,0.9981,1.0,H,0,1
1781116290.763,0.1396,0.009888,0.9982,1.0,H,0,1
1781116290.963,0.1396,0.010378,0.9982,1.0,H,0,1
1781116291.163,0.1396,0.010614,0.9983,1.0,H,0,1
1781116291.363,0.1396,0.010847,0.9983,1.0,H,0,1
1781116291.563,0.1396,0.011568,0.9983,1.0,H,0,1
1781116291.763,0.1396,0.011929,0.9984,1.0,H,0,1
1781116291.963,0.1396,0.012277,0.9984,1.0,H,0,1
1781116292.163,0.1396,0.267387,0.9786,1.0,H,0,1
1781116292.363,0.1396,0.512124,0.974,1.0,H,0,1
1781116292.563,0.1396,0.728238,0.9738,1.0,H,0,1
1781116292.763,0.1396,1.321133,0.9736,1.0,H,0,1
1781116292.963,0.1396,1.709207,0.9735,1.0,H,0,1
1781116293.164,0.1396,2.065903,0.9735,1.0,H,0,1
1781116293.363,0.1396,2.505133,0.9741,1.0,H,0,1
1781116293.563,0.1396,2.62879,0.9741,1.0,H,0,1
1781116293.764,0.1396,2.706865,0.9742,1.0,H,0,1
1781116293.963,0.1396,2.770861,0.9742,1.0,H,0,1
1781116294.163,0.1396,2.775031,0.9742,1.0,H,0,1
1781116294.363,0.1396,2.771717,0.972,1.0,H,0,1
1781116294.563,0.1396,2.762814,0.9619,1.0,H,0,1
1781116294.763,0.1396,2.759685,0.9619,1.0,H,0,1
1781116294.963,0.1396,2.756994,0.9619,1.0,H,0,1
1781116295.163,0.1396,2.752216,0.9619,1.0,H,0,1
1781116295.363,0.1396,2.749898,0.9618,1.0,H,0,1
1781116295.563,0.1396,2.747698,0.9618,1.0,H,0,1
1781116295.763,0.1396,2.742928,0.9618,1.0,H,0,1
1781116295.963,0.1396,2.746161,0.953,1.0,H,0,1
1781116296.163,0.1396,2.756861,0.9489,1.0,H,0,1
1781116296.363,0.1396,2.773747,0.9459,1.0,H,0,1
1781116296.563,0.1396,2.765729,0.9458,1.0,H,0,1
1781116296.764,0.1396,2.748463,0.9458,1.0,H,0,1
1781116296.963,0.1396,2.696881,0.9458,1.0,H,0,1
1781116297.163,0.1396,2.666065,0.9458,1.0,H,0,1
1781116297.363,0.1396,2.643931,0.9442,1.0,H,0,1
1781116297.563,0.1396,2.625038,0.9394,1.0,H,0,1
1781116297.763,0.1396,2.620206,0.9394,1.0,H,0,1
1781116297.964,0.1396,2.61543,0.9394,1.0,H,0,1
1781116298.163,0.1396,2.60567,0.9395,1.0,H,0,1
