sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781113209.881,,0.0,0.0,0.0,C,1,0
1781113210.081,,0.0,0.0,0.0,C,1,0
1781113210.281,,0.0,0.0,0.0,C,1,0
1781113210.481,,0.0,0.0,0.0,C,1,0
1781113210.681,,0.0,0.0,0.0,C,1,0
1781113210.881,,0.0,0.0,0.0,C,1,0
1781113211.081,,0.0,0.0,0.0,C,1,0
1781113211.281,,0.0,0.0,0.0,C,1,0
1781113211.481,,0.0,0.0,0.0,C,1,0
1781113211.681,,0.0,0.0,0.0,C,1,0
1781113211.881,,0.0,0.0,0.0,C,1,0
1781113212.081,,0.0,0.0,0.0,C,1,0
1781113212.281,,0.0,0.0,0.0,C,1,0
1781113212.481,,0.0,0.0,0.0,C,1,0
1781113212.681,,0.0,0.0,1.0,H,1,0
1781113212.882,3.0089,9.886915,0.4983,1.0,H,1,0
1781113213.082,3.0089,23.427563,0.5455,1.0,H,1,0
1781113213.281,3.0089,36.119888,0.5969,1.0,H,1,0
1781113213.481,3.0089,39.571529,0.7243,1.0,C,1,0
1781113213.681,3.0089,39.830715,0.7627,1.0,C,1,0
1781113213.881,3.0089,40.374477,0.7918,1.0,C,1,0
1781113214.081,3.0089,38.60257,0.8331,1.0,C,1,0
1781113214.281,3.0089,37.513966,0.8477,1.0,C,1,0
1781113214.481,3.0089,36.70702,0.86,1.0,C,1,0
1781113214.682,3.0089,39.263481,0.8385,1.0,C,1,0
1781113214.881,3.0089,39.551075,0.8129,1.0,C,1,0
1781113215.081,3.0089,38.683319,0.8129,1.0,C,1,0
1781113215.281,3.0089,36.367672,0.8333,1.0,C,1,0
1781113215.481,3.0089,35.119007,0.842,1.0,C,1,0
1781113215.682,3.0089,33.871891,0.8498,1.0,C,1,0
1781113215.882,3.0089,31.566933,0.8634,1.0,C,1,0
1781113216.082,3.0089,30.607603,0.8692,1.0,C,1,0
1781113216.282,3.0089,29.815992,0.8746,1.0,C,0,0
1781113216.482,0.0042,28.344358,0.8841,1.0,C,1,0
1781113216.682,0.0042,29.149437,0.8824,1.0,C,1,0
1781113216.881,0.0042,31.222515,0.877,1.0,C,1,0
1781113217.082,0.0042,36.84972,0.8707,1.0,C,1,0
1781113217.281,0.0042,39.114357,0.8746,1.0,C,1,0
1781113217.481,0.0042,41.055492,0.8779,1.0,C,1,0
1781113217.682,0.0863,43.324986,0.8574,1.0,C,1,0
1781113217.882,0.0863,43.363403,0.8544,1.0,C,0,0
1781113218.082,0.0863,43.491337,0.8459,1.0,C,0,0
1781113218.282,0.0863,44.925453,0.8369,1.0,C,0,0
1781113218.482,0.0863,45.657944,0.8405,1.0,C,0,0
1781113218.682,0.0863,46.379181,0.8437,1.0,C,0,0
1781113218.882,0.0863,47.688385,0.8492,1.0,C,0,0
1781113219.082,0.0863,48.230194,0.8424,1.0,C,0,0
1781113219.282,0.0863,48.692154,0.835,1.0,H,0,0
1781113219.482,0.0863,49.381584,0.8422,1.0,H,0,0
1781113219.682,0.0863,49.622875,0.8455,1.0,H,0,0
1781113219.882,0.0863,49.80431,0.8488,1.0,H,0,0
1781113220.082,0.0863,49.932278,0.8549,1.0,H,0,1
1781113220.282,0.1341,49.934593,0.8723,1.0,H,0,1
1781113220.482,0.1341,50.066006,0.8797,1.0,H,0,1
1781113220.682,0.1341,50.430256,0.8853,1.0,H,0,1
1781113220.882,0.1341,50.717319,0.8856,1.0,H,0,1
1781113221.082,0.1341,50.662823,0.8857,1.0,H,0,1
1781113221.282,0.1341,49.418438,0.8859,1.0,H,0,1
1781113221.482,0.1341,48.48399,0.8859,1.0,H,0,1
1781113221.682,0.1341,47.403809,0.886,1.0,H,0,1
1781113221.882,0.1341,44.608276,0.8892,1.0,H,0,1
1781113222.082,0.1341,43.335709,0.898,1.0,H,0,1
1781113222.282,0.1341,42.198494,0.9091,1.0,H,0,1
1781113222.482,0.1341,39.030136,0.913,1.0,H,0,1
1781113222.682,0.1341,36.881855,0.9131,1.0,H,0,1
1781113222.882,0.1341,34.617729,0.9131,1.0,H,0,1
1781113223.082,0.1341,29.919973,0.9132,1.0,H,0,1
1781113223.282,0.1341,27.410627,0.9132,1.0,H,0,1
1781113223.482,0.1341,24.70513,0.9132,1.0,H,0,1
1781113223.682,0.1341,18.575314,0.9133,1.0,H,0,1
1781113223.882,0.1341,15.122168,0.9133,1.0,H,0,1
1781113224.082,0.1341,11.43798,0.9166,1.0,H,0,1
1781113224.282,0.1341,7.230696,0.9309,1.0,H,0,1
1781113224.482,0.1341,7.22984,0.931,1.0,H,0,1
1781113224.682,0.1341,7.228745,0.9312,1.0,H,0,1
1781113224.882,0.1341,7.223285,0.9336,1.0,H,0,0
1781113225.082,0.1341,7.21831,0.9508,1.0,H,0,0
1781113225.281,0.1341,6.586294,0.9559,1.0,H,0,0
1781113225.482,0.1341,1.787697,0.9717,1.0,H,0,0
1781113225.682,0.1341,0.121679,0.9783,1.0,H,0,0
1781113225.881,0.1341,0.080548,0.9788,1.0,H,0,0
1781113226.082,0.1341,0.030045,0.9806,1.0,H,0,0
1781113226.281,0.1341,0.017236,0.9811,1.0,H,0,0
1781113226.482,0.1341,0.005827,0.9901,1.0,H,0,0
1781113226.682,0.1341,1.1e-05,1.0,1.0,H,0,0
1781113226.882,0.1341,2e-06,1.0,1.0,H,0,0
1781113227.082,0.1341,0.0,1.0,1.0,H,0,0
1781113227.282,0.1341,0.0,1.0,1.0,H,0,0
1781113227.482,0.1341,0.0,1.0,1.0,H,0,1
1781113227.681,0.116,0.0,1.0,1.0,H,0,0
1781113227.882,0.116,0.0,1.0,1.0,H,0,0
1781113228.082,0.116,0.0,1.0,1.0,H,0,0
1781113228.282,0.116,0.0,1.0,1.0,H,0,0
1781113228.482,0.116,0.0,1.0,1.0,H,0,0
1781113228.681,0.116,0.0,1.0,1.0,H,0,0
1781113228.881,0.116,0.0,1.0,1.0,H,0,0
1781113229.082,0.116,0.0,1.0,1.0,H,0,0
1781113229.282,0.116,0.0,1.0,1.0,H,0,0
1781113229.481,0.116,0.0,1.0,1.0,H,0,0
1781113229.682,0.116,0.0,1.0,1.0,H,0,0
1781113229.882,0.116,0.0,1.0,1.0,H,0,0
1781113230.081,0.116,0.0,1.0,1.0,H,0,0
1781113230.281,0.116,0.0,1.0,1.0,H,0,0
1781113230.482,0.116,0.0,1.0,1.0,H,0,0
1781113230.682,0.116,0.0,1.0,1.0,H,0,0
1781113230.882,0.116,0.0,1.0,1.0,H,0,0
1781113231.082,0.116,0.0,1.0,1.0,H,0,0
1781113231.282,0.116,0.0,1.0,1.0,H,0,0
1781113231.481,0.116,0.0,1.0,1.0,H,0,0
1781113231.681,0.116,0.0,1.0,1.0,H,0,0
1781113231.881,0.116,0.0,1.0,1.0,H,0,0
1781113232.082,0.116,0.0,1.0,1.0,H,0,0
1781113232.282,0.116,0.0,1.0,1.0,H,0,0
1781113232.482,0.116,0.0,1.0,1.0,H,0,0
1781113232.682,0.116,0.0,1.0,1.0,H,0,0
1781113232.881,0.116,0.0,1.0,1.0,H,0,0
1781113233.081,0.116,0.0,1.0,1.0,H,0,0
1781113233.282,0.116,0.0,1.0,1.0,H,0,0
1781113233.482,0.116,0.0,1.0,1.0,H,0,0
1781113233.682,0.116,0.0,1.0,1.0,H,0,0
1781113233.882,0.116,0.0,1.0,1.0,H,0,0
1781113234.082,0.116,0.0,1.0,1.0,H,0,0
1781113234.282,0.116,0.0,1.0,1.0,H,0,0
1781113234.482,0.116,0.0,1.0,1.0,H,0,0
1781113234.682,0.116,0.0,1.0,1.0,H,0,0
