sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781124630.963,,0.0,0.0,0.0,C,0,1
1781124631.163,,0.0,0.0,0.0,C,0,0
1781124631.363,,0.0,0.0,0.0,C,0,0
1781124631.563,,0.0,0.0,0.0,C,0,0
1781124631.763,,0.0,0.0,0.0,C,0,1
1781124631.963,,0.0,0.0,0.0,C,0,0
1781124632.163,,0.0,0.0,0.0,C,0,1
1781124632.363,,0.0,0.0,0.0,C,0,1
1781124632.563,,0.0,0.0,0.0,C,0,0
1781124632.763,,0.0,0.0,0.0,C,0,1
1781124632.963,,0.0,0.0,0.0,C,0,1
1781124633.163,,0.0,0.0,0.0,C,0,0
1781124633.363,,0.0,0.0,1.0,H,0,0
1781124633.564,0.2904,0.000167,0.9992,1.0,H,0,0
1781124633.763,0.2904,4.269403,0.5703,1.0,H,0,0
1781124633.963,0.075,18.880903,0.601,1.0,H,0,0
1781124634.163,0.0279,23.175913,0.6681,1.0,X,0,0
1781124634.363,0.0279,32.579018,0.7061,1.0,X,0,0
1781124634.563,0.0094,82.789101,0.7735,1.0,X,0,1
1781124634.764,0.0317,126.436905,0.7984,1.0,X,0,1
1781124634.963,0.0317,180.751678,0.8181,1.0,X,0,1
1781124635.163,0.1346,299.193359,0.8481,1.0,X,0,1
1781124635.364,0.1346,361.84668,0.8597,1.0,X,0,1
1781124635.563,0.1236,427.900177,0.8697,1.0,X,0,0
1781124635.764,0.0762,537.284424,0.8859,1.0,X,0,0
1781124635.964,0.043,573.646606,0.8926,1.0,X,0,0
1781124636.164,0.043,599.558533,0.8985,1.0,X,0,1
1781124636.364,0.0769,625.554321,0.9086,1.0,X,0,1
1781124636.563,0.1107,627.781433,0.9129,1.0,X,0,1
1781124636.764,0.0828,622.744873,0.9168,1.0,X,0,1
1781124636.964,0.0828,603.029602,0.9237,1.0,X,0,1
1781124637.164,0.1244,591.029602,0.9268,1.0,X,0,0
1781124637.364,0.007,578.428955,0.9295,1.0,X,0,0
1781124637.564,0.1092,557.549255,0.9345,1.0,X,0,1
1781124637.764,0.1092,551.058899,0.9368,1.0,X,0,1
